,Tax Roll,Property Address,Sale Price,Time-adjusted Sale Price,2020_assessed_value_CAD,Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built,legal_desc,land_use,classifications,parcel_area (m2),year_built,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement,lat,lon
619,855341,38 BAYSPRINGS WY SW,380000,362400,383000,09/14/2016,Baysprings,Duplex,2 Storey,1645,2015,Plan: 1510077 Block/Unit: 6 Lot: 48,R2 Low Density Residential District,Duplex,312,2015,None,Yes,Yes,Yes,Yes,Yes,51.2754791,-114.0472549
620,856838,103 2461 BAYSPRINGS LI SW,251841,232800,246000,09/14/2016,Baysprings,Condo,3 Storey - basementless,1298,2015,Plan: 1610086 Block/Unit: 19 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,124,2015,None,Yes,Yes,No,None,No,51.2743857,-114.047931
621,856840,105 2461 BAYSPRINGS LI SW,249350,234700,253000,09/29/2016,Baysprings,Condo,3 Storey - basementless,1298,2015,Plan: 1610086 Block/Unit: 21 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,147,2015,None,Yes,Yes,No,None,No,51.2743856,-114.0480752
622,855314,2399 BAYSPRINGS PA SW,429900,410000,383000,09/28/2016,Baysprings,Duplex,2 Storey,1612,2015,Plan: 1510077 Block/Unit: 6 Lot: 41,R2 Low Density Residential District,Duplex,333,2015,None,Yes,Yes,Yes,Yes,Yes,51.2758207,-114.046846
623,856902,1804 2461 BAYSPRINGS LI SW,265894,242000,256000,09/23/2016,Baysprings,Condo,3 Storey - basementless,1305,2016,Plan: 1610086 Block/Unit: 16 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,110,2016,None,Yes,Yes,No,None,No,51.2741191,-114.0473985
624,855339,34 BAYSPRINGS WY SW,380000,362400,383000,09/21/2016,Baysprings,Duplex,2 Storey,1645,2015,Plan: 1510077 Block/Unit: 6 Lot: 49,R2 Low Density Residential District,Duplex,312,2015,None,Yes,Yes,Yes,Yes,Yes,51.2753989,-114.0472606
625,855097,79 BAYSPRINGS TC SW,365172,332300,357000,09/06/2016,Baysprings,Condo,2 Storey,1679,2015,Plan: 1413084 Block/Unit: 41 Lot:,R2-T Townhouse Residential District,Condominium,322,2015,Yes,Yes,None,None,Yes,No,51.2734042,-114.0453513
626,854482,2339 BAYSPRINGS PA SW,509000,485400,474000,09/02/2016,Baysprings,Single Family,2 Storey,2037,2015,Plan: 1411187 Block/Unit: 6 Lot: 26,R1 Single Detached Residential District,Single Family Dwelling,389,2015,None,Yes,Yes,Yes,Yes,No,51.2751694,-114.0449625
627,854487,2355 BAYSPRINGS PA SW,505000,481600,487000,09/01/2016,Baysprings,Single Family,2 Storey,2165,2015,Plan: 1411187 Block/Unit: 6 Lot: 30,R1 Single Detached Residential District,Single Family Dwelling,389,2015,None,Yes,Yes,Yes,Yes,No,51.2751702,-114.0456146
628,856894,1602 2461 BAYSPRINGS LI SW,257650,246100,246000,09/10/2016,Baysprings,Condo,3 Storey - basementless,1261,2016,Plan: 1610086 Block/Unit: 9 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,104,2016,None,Yes,Yes,No,None,No,51.2737793,-114.0473094
629,855355,83 BAYSPRINGS WY SW,419000,399600,394000,09/09/2016,Baysprings,Duplex,Bi-Level,1367,2016,Plan: 1510077 Block/Unit: 8 Lot: 21,R2 Low Density Residential District,Duplex,332,2016,Yes,Yes,Yes,Yes,Yes,No,51.2761877,-114.0480064
630,857885,1412 2461 BAYSPRINGS LI SW,206298,179800,188000,10/17/2016,Baysprings,Apartment,Apartment,834,2016,Plan: 1612252 Block/Unit: 156 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.2733383,-114.0472206
631,851454,123 BAYVIEW ST SW,494000,476100,502000,10/12/2016,Baysprings,Single Family,2 Storey,2460,2015,Plan: 1212826 Block/Unit: 3 Lot: 3,R1 Single Detached Residential District,Single Family Dwelling,396,2015,Yes,Yes,Yes,Yes,Yes,No,51.2742925,-114.0437697
632,855325,6 BAYSPRINGS WY SW,380000,366200,379000,10/14/2016,Baysprings,Duplex,2 Storey,1645,2015,Plan: 1510077 Block/Unit: 6 Lot: 56,R2 Low Density Residential District,Duplex,311,2015,None,Yes,Yes,Yes,Yes,Yes,51.2748381,-114.0472849
633,857841,1512 2461 BAYSPRINGS LI SW,217926,194700,203000,10/27/2016,Baysprings,Apartment,Apartment,943,2016,Plan: 1611856 Block/Unit: 143 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.2736553,-114.0465861
634,856896,1604 2461 BAYSPRINGS LI SW,254531,239700,246000,10/26/2016,Baysprings,Condo,3 Storey - basementless,1261,2016,Plan: 1610086 Block/Unit: 11 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,104,2016,None,Yes,Yes,No,None,No,51.273865,-114.0473443
635,855315,2402 BAYSPRINGS PA SW,428000,412500,384000,10/29/2016,Baysprings,Duplex,2 Storey,1612,2015,Plan: 1510077 Block/Unit: 7 Lot: 34,R2 Low Density Residential District,Duplex,344,2015,None,Yes,Yes,Yes,Yes,Yes,51.2762217,-114.0469472
636,856900,1802 2461 BAYSPRINGS LI SW,251839,229800,246000,10/29/2016,Baysprings,Condo,3 Storey - basementless,1267,2016,Plan: 1610086 Block/Unit: 14 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,94,2016,None,Yes,Yes,No,None,No,51.2743878,-114.0476078
637,857883,1418 2461 BAYSPRINGS LI SW,164631,147100,143000,10/31/2016,Baysprings,Apartment,Apartment,527,2016,Plan: 1612252 Block/Unit: 151 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.27324,-114.0471746
638,856895,1603 2461 BAYSPRINGS LI SW,261525,238600,247000,10/04/2016,Baysprings,Condo,3 Storey - basementless,1282,2016,Plan: 1610086 Block/Unit: 10 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,104,2016,None,Yes,Yes,No,None,No,51.2738193,-114.0473261
639,857847,1523 2461 BAYSPRINGS LI SW,223740,195400,195000,11/03/2016,Baysprings,Apartment,Apartment,882,2016,Plan: 1611856 Block/Unit: 145 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,87,2016,None,None,Yes,No,None,No,51.2737549,-114.0466263
640,857839,1503 2461 BAYSPRINGS LI SW,211627,198400,184000,11/03/2016,Baysprings,Apartment,Apartment,957,2016,Plan: 1611856 Block/Unit: 137 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.273628,-114.0467351
641,856901,1803 2461 BAYSPRINGS LI SW,256700,242400,246000,11/01/2016,Baysprings,Condo,3 Storey - basementless,1268,2016,Plan: 1610086 Block/Unit: 15 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,94,2016,None,Yes,Yes,No,None,No,51.2740697,-114.0473762
642,857836,1504 2461 BAYSPRINGS LI SW,209205,182400,184000,11/01/2016,Baysprings,Apartment,Apartment,957,2016,Plan: 1611856 Block/Unit: 138 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.2735782,-114.046715
643,858060,1322 2461 BAYSPRINGS LI SW,221771,198100,195000,11/21/2016,Baysprings,Apartment,Apartment,882,2016,Plan: 1612492 Block/Unit: 173 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,87,2016,None,None,Yes,No,None,No,51.2733723,-114.0465823
644,858050,1301 2461 BAYSPRINGS LI SW,213081,185900,192000,11/21/2016,Baysprings,Apartment,Apartment,1011,2016,Plan: 1612492 Block/Unit: 166 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,86,2016,None,None,None,None,None,No,51.2732313,-114.0465013
645,858055,1311 2461 BAYSPRINGS LI SW,217926,194700,204000,11/21/2016,Baysprings,Apartment,Apartment,943,2016,Plan: 1612492 Block/Unit: 170 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,Yes,No,None,No,51.2733085,-114.0463723
646,855358,95 BAYSPRINGS WY SW,429000,408300,387000,11/15/2016,Baysprings,Duplex,Bi-Level,1367,2016,Plan: 1510077 Block/Unit: 8 Lot: 24,R2 Low Density Residential District,Duplex,318,2016,Yes,Yes,Yes,Yes,None,No,51.2764037,-114.0480206
647,855333,22 BAYSPRINGS WY SW,429900,409100,383000,11/09/2016,Baysprings,Duplex,2 Storey,1645,2015,Plan: 1510077 Block/Unit: 6 Lot: 52,R2 Low Density Residential District,Duplex,312,2015,None,Yes,Yes,Yes,Yes,Yes,51.2751586,-114.0472779
648,858062,1324 2461 BAYSPRINGS LI SW,223802,195500,195000,11/30/2016,Baysprings,Apartment,Apartment,882,2016,Plan: 1612492 Block/Unit: 172 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,87,2016,None,None,Yes,No,None,No,51.2733867,-114.0465097
649,855336,27 BAYSPRINGS WY SW,362500,345000,364000,11/21/2016,Baysprings,Duplex,2 Storey,1605,2015,Plan: 1510077 Block/Unit: 8 Lot: 7,R2 Low Density Residential District,Duplex,325,2015,None,Yes,Yes,Yes,Yes,No,51.2752058,-114.047915
650,858052,1303 2461 BAYSPRINGS LI SW,209205,188700,184000,11/23/2016,Baysprings,Apartment,Apartment,957,2016,Plan: 1612492 Block/Unit: 167 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.2732458,-114.0464286
651,854456,104 BAYSPRINGS CO SW,679350,646500,640000,11/23/2016,Baysprings,Single Family,2 Storey,2413,2016,Plan: 1411187 Block/Unit: 7 Lot: 2,R1 Single Detached Residential District,Single Family Dwelling,484,2016,Yes,Yes,Yes,Yes,Yes,Yes,51.2754725,-114.0446341
652,855357,91 BAYSPRINGS WY SW,429000,410700,388000,12/22/2016,Baysprings,Duplex,Bi-Level,1367,2016,Plan: 1510077 Block/Unit: 8 Lot: 23,R2 Low Density Residential District,Duplex,321,2016,Yes,Yes,Yes,Yes,None,No,51.2763316,-114.048016
653,858039,391 BAYVIEW WY SW,485000,464300,475000,12/23/2016,Baysprings,Single Family,2 Storey,1837,2016,Plan: 1612574 Block/Unit: 2 Lot: 43,R1 Single Detached Residential District,Single Family Dwelling,364,2016,Yes,Yes,Yes,Yes,Yes,No,51.2757711,-114.0428737
654,858056,1312 2461 BAYSPRINGS LI SW,217926,190200,204000,12/05/2016,Baysprings,Apartment,Apartment,943,2016,Plan: 1612492 Block/Unit: 169 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,Yes,No,None,No,51.2732956,-114.0464487
655,854492,2364 BAYSPRINGS PA SW,518000,495900,556000,12/07/2016,Baysprings,Single Family,2 Storey,2497,2015,Plan: 1411187 Block/Unit: 7 Lot: 22,R1 Single Detached Residential District,Single Family Dwelling,422,2015,Yes,Yes,Yes,Yes,Yes,No,51.27562,-114.0459604
656,857884,1417 2461 BAYSPRINGS LI SW,164631,147100,143000,12/12/2016,Baysprings,Apartment,Apartment,527,2016,Plan: 1612252 Block/Unit: 150 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,None,None,None,No,51.2732332,-114.0470863
657,858033,172 BAYVIEW ST SW,538000,520000,480000,01/26/2017,Baysprings,Single Family,2 Storey,1852,2016,Plan: 1612574 Block/Unit: 2 Lot: 36,R1 Single Detached Residential District,Single Family Dwelling,363,2016,Yes,Yes,Yes,Yes,Yes,No,51.2757861,-114.0433406
658,858058,1314 2461 BAYSPRINGS LI SW,215600,200700,204000,01/19/2017,Baysprings,Apartment,Apartment,943,2016,Plan: 1612492 Block/Unit: 168 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,82,2016,None,None,Yes,No,None,No,51.2733418,-114.0464839
659,854463,132 BAYSPRINGS CO SW,595900,576000,573000,01/07/2017,Baysprings,Single Family,2 Storey,2560,2015,Plan: 1411187 Block/Unit: 7 Lot: 9,R1 Single Detached Residential District,Single Family Dwelling,479,2015,Yes,Yes,Yes,Yes,Yes,Yes,51.2754725,-114.0446341
660,858051,1302 2461 BAYSPRINGS LI SW,213081,187700,192000,01/06/2017,Baysprings,Apartment,Apartment,1011,2016,Plan: 1612492 Block/Unit: 165 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,86,2016,None,None,None,None,None,No,51.2732587,-114.0463522
661,855118,122 BAYSPRINGS TC SW,371749,341900,330000,01/04/2017,Baysprings,Condo,2 Storey,1679,2015,Plan: 1413084 Block/Unit: 11 Lot:,R2-T Townhouse Residential District,Condominium,271,2015,None,Yes,Yes,Yes,None,No,51.2738971,-114.0461263
662,855122,130 BAYSPRINGS TC SW,390105,358800,322000,01/18/2017,Baysprings,Condo,2 Storey,1669,2015,Plan: 1413084 Block/Unit: 9 Lot:,R2-T Townhouse Residential District,Condominium,201,2015,None,Yes,Yes,Yes,None,No,51.2740035,-114.046149
663,852932,2402 BAYSPRINGS LI SW,567000,548100,510000,01/16/2017,Baysprings,Single Family,2 Storey,2400,2014,Plan: 1312521 Block/Unit: 6 Lot: 15,R1 Single Detached Residential District,Single Family Dwelling,408,2014,None,Yes,Yes,Yes,Yes,No,51.2748533,-114.0444668
664,855126,138 BAYSPRINGS TC SW,350000,321900,322000,01/12/2017,Baysprings,Condo,2 Storey,1669,2015,Plan: 1413084 Block/Unit: 7 Lot:,R2-T Townhouse Residential District,Condominium,198,2015,None,Yes,Yes,Yes,None,No,51.2740918,-114.0463057
665,856847,301 2461 BAYSPRINGS LI SW,256204,236300,256000,02/13/2017,Baysprings,Condo,3 Storey - basementless,1297,2016,Plan: 1610086 Block/Unit: 68 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,107,2016,None,Yes,Yes,No,None,No,51.2741338,-114.0477267
666,855319,2410 BAYSPRINGS PA SW,440000,420400,462000,02/08/2017,Baysprings,Duplex,2 Storey,1978,2016,Plan: 1510077 Block/Unit: 7 Lot: 36,R2 Low Density Residential District,Duplex,342,2016,Yes,Yes,Yes,Yes,Yes,No,51.2762071,-114.0473039
667,856852,306 2461 BAYSPRINGS LI SW,254531,242300,256000,02/24/2017,Baysprings,Condo,3 Storey - basementless,1297,2016,Plan: 1610086 Block/Unit: 63 Lot:,R4 Mid Rise Multifamily Residential District,Condominium,104,2016,None,Yes,Yes,No,None,No,51.273905,-114.047727
