,Tax Roll,Property Address,Sale Price,Time-adjusted Sale Price,2020_assessed_value_CAD,Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built,legal_desc,land_use,classifications,parcel_area (m2),year_built,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement,lat,lon
0,360800,193 ACACIA CR SE,342000,326800,340000,07/06/2016,Airdrie Meadows,Single Family,Bi-Level,1176,1978,Plan: 7711277 Block/Unit: 22 Lot: 15,R1 Single Detached Residential District,Single Family Dwelling,502,1978,Yes,Yes,None,None,None,No,51.2856693,-114.0116394
1,360800,193 ACACIA CR SE,342000,326800,340000,07/06/2016,Airdrie Meadows,Single Family,Bi-Level,1176,1978,Plan: 7711277 Block/Unit: 22 Lot: 15,R1 Single Detached Residential District,Single Family Dwelling,502,1978,Yes,Yes,None,None,None,No,51.2856693,-114.0116394
2,19400,9 ALDER CR SE,351000,335400,324000,07/14/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 10 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,449,1977,Yes,Yes,None,None,Yes,No,51.2894656,-114.0043172
3,19400,9 ALDER CR SE,351000,335400,324000,07/14/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 10 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,449,1977,Yes,Yes,None,None,Yes,No,51.2894656,-114.0043172
4,714200,13 900 ALLEN ST SE,275000,249600,269000,08/19/2016,Airdrie Meadows,Condo,2 Storey,1263,1998,Plan: 9811335 Block/Unit: 13 Lot:,R2-T Townhouse Residential District,Condominium,179,1998,Yes,Yes,Yes,No,Yes,Yes,51.2849554,-114.0037089
5,714200,13 900 ALLEN ST SE,275000,249600,269000,08/19/2016,Airdrie Meadows,Condo,2 Storey,1263,1998,Plan: 9811335 Block/Unit: 13 Lot:,R2-T Townhouse Residential District,Condominium,179,1998,Yes,Yes,Yes,No,Yes,Yes,51.2849554,-114.0037089
6,236100,201 700 ALLEN ST SE,200000,181500,186000,08/04/2016,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 7 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,Yes,None,Yes,No,None,No,51.2865678,-114.0032048
7,236100,201 700 ALLEN ST SE,200000,181500,186000,08/04/2016,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 7 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,Yes,None,Yes,No,None,No,51.2865678,-114.0032048
8,384000,28 ARBOR CR SE,313000,298500,324000,08/29/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 13 Lot: 25,R1 Single Detached Residential District,Single Family Dwelling,470,1977,Yes,Yes,None,None,None,No,51.2898504,-114.0116841
9,384000,28 ARBOR CR SE,313000,298500,324000,08/29/2016,Airdrie Meadows,Single Family,Bungalow,1024,1977,Plan: 7710734 Block/Unit: 13 Lot: 25,R1 Single Detached Residential District,Single Family Dwelling,470,1977,Yes,Yes,None,None,None,No,51.2898504,-114.0116841
10,288100,101 ALDER CR SE,336000,320400,326000,09/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1029,1977,Plan: 7710734 Block/Unit: 10 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,Yes,Yes,Yes,No,51.2890077,-114.005921
11,288100,101 ALDER CR SE,336000,320400,326000,09/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1029,1977,Plan: 7710734 Block/Unit: 10 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,Yes,Yes,Yes,No,51.2890077,-114.005921
12,182800,9 ASHWOOD GR SE,315000,300400,301000,09/27/2016,Airdrie Meadows,Single Family,Bungalow,974,1978,Plan: 7711277 Block/Unit: 16 Lot: 49,R1 Single Detached Residential District,Single Family Dwelling,393,1978,Yes,Yes,None,None,Yes,No,51.2878102,-114.0101836
13,182800,9 ASHWOOD GR SE,315000,300400,301000,09/27/2016,Airdrie Meadows,Single Family,Bungalow,974,1978,Plan: 7711277 Block/Unit: 16 Lot: 49,R1 Single Detached Residential District,Single Family Dwelling,393,1978,Yes,Yes,None,None,Yes,No,51.2878102,-114.0101836
14,379000,421 ALBERT ST SE,344000,328000,325000,09/01/2016,Airdrie Meadows,Single Family,2 Storey,1406,1978,Plan: 7710734 Block/Unit: 12 Lot: 19,R1 Single Detached Residential District,Single Family Dwelling,540,1978,Yes,Yes,Yes,No,None,No,51.2881761,-114.0115037
15,379000,421 ALBERT ST SE,344000,328000,325000,09/01/2016,Airdrie Meadows,Single Family,2 Storey,1406,1978,Plan: 7710734 Block/Unit: 12 Lot: 19,R1 Single Detached Residential District,Single Family Dwelling,540,1978,Yes,Yes,Yes,No,None,No,51.2881761,-114.0115037
16,374500,16 ASPEN CR SE,342000,329600,306000,10/27/2016,Airdrie Meadows,Single Family,Bi-Level,852,1978,Plan: 7711277 Block/Unit: 7 Lot: 130,R1 Single Detached Residential District,Single Family Dwelling,390,1978,Yes,Yes,Yes,No,Yes,No,51.28826,-114.004845
17,103600,801 700 ALLEN ST SE,208000,189800,222000,10/03/2016,Airdrie Meadows,Condo,Bungalow,1087,1980,Plan: 8010020 Block/Unit: 47 Lot:,R2-T Townhouse Residential District,Condominium,384,1980,None,None,None,None,None,No,51.286524,-114.0039946
18,374100,216 ACACIA CR SE,315000,299800,324000,11/15/2016,Airdrie Meadows,Single Family,Split Level (no crawl),1081,1978,Plan: 7711277 Block/Unit: 15 Lot: 8,R1 Single Detached Residential District,Single Family Dwelling,533,1978,None,Yes,Yes,No,Yes,No,51.2860572,-114.0104538
19,76200,70 ASHWOOD RD SE,285500,271700,230000,11/09/2016,Airdrie Meadows,Duplex,2 Storey,1080,1978,Plan: 7711277 Block/Unit: 7 Lot: 75B,R2 Low Density Residential District,Duplex,450,1978,Yes,None,Yes,No,None,No,51.2882168,-114.0075831
20,101500,506 700 ALLEN ST SE,193000,177500,170000,01/10/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 31 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,Yes,None,Yes,No,None,No,51.2856926,-114.0030973
21,376100,603 700 ALLEN ST SE,188500,173900,173000,02/24/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
22,376100,603 700 ALLEN ST SE,188500,173900,173000,02/24/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
23,376100,603 700 ALLEN ST SE,188500,173900,173000,02/24/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
24,376100,603 700 ALLEN ST SE,188500,173900,173000,02/24/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
25,376100,603 700 ALLEN ST SE,187000,176700,173000,11/23/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
26,376100,603 700 ALLEN ST SE,187000,176700,173000,11/23/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
27,376100,603 700 ALLEN ST SE,187000,176700,173000,11/23/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
28,376100,603 700 ALLEN ST SE,187000,176700,173000,11/23/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 35 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2856989,-114.0035119
29,714500,16 900 ALLEN ST SE,232500,215000,251000,03/22/2017,Airdrie Meadows,Condo,2 Storey,1249,1998,Plan: 9811335 Block/Unit: 16 Lot:,R2-T Townhouse Residential District,Condominium,319,1998,Yes,None,Yes,No,Yes,Yes,51.2849554,-114.0034127
30,317900,149 ALPINE CR SE,320000,306200,332000,04/26/2017,Airdrie Meadows,Single Family,Bungalow,1007,1977,Plan: 7710734 Block/Unit: 11 Lot: 27,R1 Single Detached Residential District,Single Family Dwelling,536,1977,Yes,Yes,Yes,No,Yes,No,51.2890116,-114.0102011
31,252700,112 ALPINE CR SE,298000,285200,277000,04/05/2017,Airdrie Meadows,Single Family,Bi-Level,767,1977,Plan: 7710734 Block/Unit: 7 Lot: 47,R1 Single Detached Residential District,Single Family Dwelling,390,1977,Yes,Yes,Yes,No,Yes,No,51.2886659,-114.0085323
32,442100,225 ACACIA CR SE,342500,327800,364000,05/16/2017,Airdrie Meadows,Single Family,2 Storey,1354,1978,Plan: 7711277 Block/Unit: 22 Lot: 7,R1 Single Detached Residential District,Single Family Dwelling,728,1978,Yes,Yes,Yes,No,Yes,No,51.2857309,-114.0100312
33,259200,77 ASHWOOD RD SE,343500,328700,329000,05/31/2017,Airdrie Meadows,Single Family,Split Level (no crawl),1180,1978,Plan: 7711277 Block/Unit: 16 Lot: 32,R1 Single Detached Residential District,Single Family Dwelling,477,1978,Yes,None,Yes,No,Yes,No,51.2879078,-114.007952
34,376200,137 ALDER CR SE,294500,281800,307000,05/16/2017,Airdrie Meadows,Single Family,Split Level (no crawl),1029,1977,Plan: 7710734 Block/Unit: 10 Lot: 12,R1 Single Detached Residential District,Single Family Dwelling,497,1977,None,Yes,Yes,No,Yes,No,51.289058,-114.00425
35,179100,510 500 ALLEN ST SE,183000,170600,167000,06/07/2017,Airdrie Meadows,Condo,2 Storey,1066,1979,Plan: 7911038 Block/Unit: 10 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,None,None,Yes,No,None,No,51.2882043,-114.0032787
36,179100,510 500 ALLEN ST SE,183000,170600,167000,06/07/2017,Airdrie Meadows,Condo,2 Storey,1066,1979,Plan: 7911038 Block/Unit: 10 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,None,None,Yes,No,None,No,51.2882043,-114.0032787
37,179100,510 500 ALLEN ST SE,183000,170600,167000,06/07/2017,Airdrie Meadows,Condo,2 Storey,1066,1979,Plan: 7911038 Block/Unit: 10 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,None,None,Yes,No,None,No,51.2882043,-114.0032787
38,179100,510 500 ALLEN ST SE,183000,170600,167000,06/07/2017,Airdrie Meadows,Condo,2 Storey,1066,1979,Plan: 7911038 Block/Unit: 10 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,None,None,Yes,No,None,No,51.2882043,-114.0032787
39,171500,13 ASPEN CR SE,305000,290000,287000,07/29/2017,Airdrie Meadows,Single Family,Bi-Level,767,1978,Plan: 7711277 Block/Unit: 18 Lot: 9,R1 Single Detached Residential District,Single Family Dwelling,396,1978,Yes,Yes,Yes,No,None,No,51.2878864,-114.0045204
40,171500,13 ASPEN CR SE,305000,290000,287000,07/29/2017,Airdrie Meadows,Single Family,Bi-Level,767,1978,Plan: 7711277 Block/Unit: 18 Lot: 9,R1 Single Detached Residential District,Single Family Dwelling,396,1978,Yes,Yes,Yes,No,None,No,51.2878864,-114.0045204
41,171500,13 ASPEN CR SE,305000,290000,287000,07/29/2017,Airdrie Meadows,Single Family,Bi-Level,767,1978,Plan: 7711277 Block/Unit: 18 Lot: 9,R1 Single Detached Residential District,Single Family Dwelling,396,1978,Yes,Yes,Yes,No,None,No,51.2878864,-114.0045204
42,171500,13 ASPEN CR SE,305000,290000,287000,07/29/2017,Airdrie Meadows,Single Family,Bi-Level,767,1978,Plan: 7711277 Block/Unit: 18 Lot: 9,R1 Single Detached Residential District,Single Family Dwelling,396,1978,Yes,Yes,Yes,No,None,No,51.2878864,-114.0045204
43,233400,44 ALDER CR SE,390000,370800,350000,07/31/2017,Airdrie Meadows,Single Family,Bi-Level,992,1977,Plan: 7710734 Block/Unit: 7 Lot: 156,R1 Single Detached Residential District,Single Family Dwelling,428,1977,Yes,Yes,Yes,No,None,No,51.2898041,-114.0059557
44,280000,805 700 ALLEN ST SE,192500,179900,217000,07/20/2017,Airdrie Meadows,Condo,Bungalow,1087,1980,Plan: 8010020 Block/Unit: 51 Lot:,R2-T Townhouse Residential District,Condominium,384,1980,Yes,None,None,None,None,No,51.286524,-114.0039946
45,225500,201 ACACIA CR SE,355000,337500,315000,07/07/2017,Airdrie Meadows,Single Family,Split Level (no crawl),1081,1978,Plan: 7711277 Block/Unit: 22 Lot: 13,R1 Single Detached Residential District,Single Family Dwelling,507,1978,None,Yes,None,None,Yes,No,51.2857092,-114.0112559
46,298300,124 ALPINE CR SE,371000,352700,338000,07/10/2017,Airdrie Meadows,Single Family,Bungalow,1119,1977,Plan: 7710734 Block/Unit: 7 Lot: 50,R1 Single Detached Residential District,Single Family Dwelling,507,1977,Yes,Yes,None,None,Yes,No,51.2886664,-114.0091403
47,248900,209 ACACIA DR SE,358000,340200,302000,08/18/2017,Airdrie Meadows,Single Family,Bi-Level,853,1978,Plan: 7711277 Block/Unit: 15 Lot: 5,R1 Single Detached Residential District,Single Family Dwelling,390,1978,Yes,Yes,Yes,No,None,No,51.2864919,-114.0108507
48,713800,9 900 ALLEN ST SE,220000,206200,242000,08/21/2017,Airdrie Meadows,Condo,2 Storey,1249,1998,Plan: 9811335 Block/Unit: 9 Lot:,R2-T Townhouse Residential District,Condominium,140,1998,Yes,None,Yes,No,None,Yes,51.2849554,-114.004104
49,317100,109 ALPINE CR SE,340000,323100,327000,08/15/2017,Airdrie Meadows,Single Family,Bungalow,998,1977,Plan: 7710734 Block/Unit: 11 Lot: 17,R1 Single Detached Residential District,Single Family Dwelling,371,1977,Yes,Yes,Yes,No,Yes,No,51.2890101,-114.0084041
50,418100,104 ALDER CR SE,338000,321200,345000,08/11/2017,Airdrie Meadows,Single Family,Bungalow,1149,1977,Plan: 7710734 Block/Unit: 7 Lot: 142,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,None,None,None,No,51.2886502,-114.0056724
51,223400,704 700 ALLEN ST SE,194000,182300,176000,09/05/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 43 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,Yes,None,Yes,No,None,No,51.2857429,-114.004234
52,209300,9 ASPEN CR SE,345000,328700,348000,09/14/2017,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
53,209300,9 ASPEN CR SE,345000,328700,348000,09/14/2017,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
54,209300,9 ASPEN CR SE,345000,328700,348000,09/14/2017,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
55,209300,9 ASPEN CR SE,345000,328700,348000,09/14/2017,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
56,209300,9 ASPEN CR SE,325000,321400,348000,10/23/2018,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
57,209300,9 ASPEN CR SE,325000,321400,348000,10/23/2018,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
58,209300,9 ASPEN CR SE,325000,321400,348000,10/23/2018,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
59,209300,9 ASPEN CR SE,325000,321400,348000,10/23/2018,Airdrie Meadows,Single Family,Bungalow,951,1978,Plan: 7711277 Block/Unit: 18 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,None,No,51.287893,-114.004321
60,308800,68 ALPINE CR SE,395000,375800,327000,10/21/2017,Airdrie Meadows,Single Family,Bungalow,1007,1977,Plan: 7710734 Block/Unit: 7 Lot: 37,R1 Single Detached Residential District,Single Family Dwelling,418,1977,Yes,Yes,Yes,No,Yes,No,51.2893419,-114.0073423
61,224900,604 700 ALLEN ST SE,165000,155500,164000,10/03/2017,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 36 Lot:,R2-T Townhouse Residential District,Condominium,294,1980,None,None,None,None,None,No,51.2856947,-114.0035989
62,220200,117 ASPEN CR SE,400000,380500,389000,10/14/2017,Airdrie Meadows,Single Family,Bi-Level,1207,1978,Plan: 7711277 Block/Unit: 18 Lot: 16,R1 Single Detached Residential District,Single Family Dwelling,435,1978,Yes,Yes,Yes,No,Yes,No,51.2874275,-114.0049064
63,142100,56 ASPEN CR SE,259000,246400,202000,10/18/2017,Airdrie Meadows,Duplex,2 Storey,997,1978,Plan: 7711277 Block/Unit: 7 Lot: 120,R2 Low Density Residential District,Duplex,352,1978,Yes,None,Yes,No,None,No,51.2881131,-114.0066617
64,273800,62 ASPEN CR SE,254250,241900,219000,10/24/2017,Airdrie Meadows,Duplex,2 Storey,1078,1978,Plan: 7711277 Block/Unit: 7 Lot: 119,R2 Low Density Residential District,Duplex,287,1978,Yes,None,Yes,No,None,No,51.2878747,-114.0066441
65,312900,41 ASTER PL SE,309000,295600,341000,11/18/2017,Airdrie Meadows,Single Family,Bungalow,1183,1977,Plan: 7710734 Block/Unit: 13 Lot: 10,R1 Single Detached Residential District,Single Family Dwelling,720,1977,Yes,None,Yes,No,Yes,No,51.2905509,-114.0123062
66,366200,511 500 ALLEN ST SE,164700,156100,163000,12/06/2017,Airdrie Meadows,Condo,2 Storey,1065,1979,Plan: 7911038 Block/Unit: 11 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,Yes,None,Yes,No,None,No,51.2881653,-114.0033129
67,302300,132 ASPEN CR SE,350000,338700,307000,12/18/2017,Airdrie Meadows,Single Family,Bungalow,951,1977,Plan: 7711277 Block/Unit: 7 Lot: 101,R1 Single Detached Residential District,Single Family Dwelling,503,1977,Yes,Yes,None,None,None,No,51.287069,-114.0041595
68,241000,420 ALBERT ST SE,299000,289300,328000,12/21/2017,Airdrie Meadows,Single Family,Split Level (with crawl),1037,1977,Plan: 7710734 Block/Unit: 7 Lot: 61,R1 Single Detached Residential District,Single Family Dwelling,451,1977,Yes,Yes,Yes,No,Yes,No,51.2881882,-114.0108257
69,216300,4 ALPINE CR SE,335000,320100,300000,03/21/2018,Airdrie Meadows,Single Family,Bi-Level,924,1977,Plan: 7710734 Block/Unit: 7 Lot: 21,R1 Single Detached Residential District,Single Family Dwelling,453,1977,Yes,Yes,Yes,No,Yes,No,51.2898529,-114.0100896
70,70700,72 ASPEN CR SE,265000,253200,282000,03/27/2018,Airdrie Meadows,Single Family,Bungalow,994,1977,Plan: 7711277 Block/Unit: 7 Lot: 116,R1 Single Detached Residential District,Single Family Dwelling,427,1977,Yes,None,None,None,Yes,No,51.287394,-114.006699
71,387100,61 ASHWOOD GR SE,285000,274200,294000,04/20/2018,Airdrie Meadows,Single Family,Bi-Level,936,1978,Plan: 7711277 Block/Unit: 16 Lot: 36,R1 Single Detached Residential District,Single Family Dwelling,422,1978,Yes,Yes,None,None,Yes,No,51.2875569,-114.0085583
72,317200,21 ASHWOOD RD SE,349000,335800,320000,04/17/2018,Airdrie Meadows,Single Family,Split Level (no crawl),1081,1978,Plan: 7711277 Block/Unit: 16 Lot: 50,R1 Single Detached Residential District,Single Family Dwelling,462,1978,Yes,Yes,Yes,No,None,No,51.2879438,-114.0102181
73,158600,140 ALPINE CR SE,385000,370400,338000,04/25/2018,Airdrie Meadows,Single Family,Bi-Level,1443,1977,Plan: 7710734 Block/Unit: 7 Lot: 54,R1 Single Detached Residential District,Single Family Dwelling,468,1977,Yes,Yes,None,None,Yes,No,51.2886941,-114.0099564
74,204100,302 700 ALLEN ST SE,185000,177700,151000,05/16/2018,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 14 Lot:,R2-T Townhouse Residential District,Condominium,296,1980,None,None,None,None,None,No,51.2864481,-114.0025754
75,408700,109 ALDER CR SE,337000,325700,345000,06/06/2018,Airdrie Meadows,Single Family,Bungalow,951,1977,Plan: 7710734 Block/Unit: 10 Lot: 19,R1 Single Detached Residential District,Single Family Dwelling,429,1977,Yes,Yes,Yes,No,Yes,No,51.2889926,-114.005495
76,69600,420 ACACIA DR SE,328000,317000,311000,06/14/2018,Airdrie Meadows,Single Family,Bungalow,998,1978,Plan: 7711277 Block/Unit: 7 Lot: 95,R1 Single Detached Residential District,Single Family Dwelling,390,1978,Yes,Yes,None,None,None,No,51.2866307,-114.0055233
77,390100,52 ASHWOOD RD SE,321500,312200,302000,08/10/2018,Airdrie Meadows,Single Family,Bi-Level,926,1978,Plan: 7711277 Block/Unit: 7 Lot: 71,R1 Single Detached Residential District,Single Family Dwelling,429,1978,Yes,Yes,Yes,No,Yes,No,51.288281,-114.0087821
78,376500,203 700 ALLEN ST SE,179000,174000,155000,09/11/2018,Airdrie Meadows,Condo,2 Storey,1098,1980,Plan: 8010020 Block/Unit: 9 Lot:,R2-T Townhouse Residential District,Condominium,292,1980,None,None,None,None,None,No,51.2865668,-114.0030304
79,135000,25 ASTER PL SE,421500,416900,417000,10/01/2018,Airdrie Meadows,Single Family,Split Level (with crawl),1081,1977,Plan: 7710734 Block/Unit: 13 Lot: 6,R1 Single Detached Residential District,Single Family Dwelling,630,1977,Yes,Yes,Yes,No,Yes,No,51.2907159,-114.011547
80,257800,56 ALPINE CR SE,360000,350400,366000,11/05/2018,Airdrie Meadows,Single Family,Bi-Level,1207,1977,Plan: 7710734 Block/Unit: 7 Lot: 34,R1 Single Detached Residential District,Single Family Dwelling,907,1977,Yes,Yes,Yes,No,Yes,No,51.2897549,-114.0073803
81,45100,627 600 ALLEN ST SE,193000,188600,182000,11/26/2018,Airdrie Meadows,Condo,2 Storey,1066,1980,Plan: 8010580 Block/Unit: 27 Lot:,R2-T Townhouse Residential District,Condominium,322,1980,Yes,None,Yes,No,None,No,51.2870281,-114.0025859
82,142500,325 ALBERT ST SE,400000,389400,364000,11/08/2018,Airdrie Meadows,Single Family,Bungalow,974,1977,Plan: 7710734 Block/Unit: 12 Lot: 13,R1 Single Detached Residential District,Single Family Dwelling,738,1977,Yes,Yes,None,None,None,No,51.2889515,-114.011476
83,354900,17 ASTER PL SE,322500,319000,315000,12/04/2018,Airdrie Meadows,Single Family,Bungalow,974,1977,Plan: 7710734 Block/Unit: 13 Lot: 4,R1 Single Detached Residential District,Single Family Dwelling,459,1977,Yes,Yes,None,None,Yes,No,51.2907136,-114.0111765
84,321200,504 500 ALLEN ST SE,167500,164200,160000,12/05/2018,Airdrie Meadows,Condo,2 Storey,1066,1979,Plan: 7911038 Block/Unit: 4 Lot:,R2-T Townhouse Residential District,Condominium,287,1979,None,None,Yes,No,None,No,51.2881546,-114.0027157
85,189900,20 ASHWOOD RD SE,313000,310800,290000,01/21/2019,Airdrie Meadows,Single Family,Bi-Level,922,1978,Plan: 7711277 Block/Unit: 7 Lot: 63,R1 Single Detached Residential District,Single Family Dwelling,429,1978,Yes,Yes,None,None,Yes,No,51.2882335,-114.0102161
86,197400,29 ASTER PL SE,360000,356800,385000,02/14/2019,Airdrie Meadows,Single Family,Bungalow,1078,1977,Plan: 7710734 Block/Unit: 13 Lot: 7,R1 Single Detached Residential District,Single Family Dwelling,643,1977,Yes,Yes,Yes,No,Yes,No,51.2907503,-114.0117883
87,128300,17 ALPINE CR SE,295000,292300,300000,02/25/2019,Airdrie Meadows,Single Family,Bungalow,974,1977,Plan: 7710734 Block/Unit: 11 Lot: 4,R1 Single Detached Residential District,Single Family Dwelling,371,1977,Yes,Yes,None,None,Yes,No,51.2894918,-114.0095896
88,313000,803 700 ALLEN ST SE,175000,172500,173000,02/26/2019,Airdrie Meadows,Condo,Bungalow,872,1980,Plan: 8010020 Block/Unit: 49 Lot:,R2-T Townhouse Residential District,Condominium,309,1980,None,None,Yes,No,None,No,51.286524,-114.0039946
89,288300,413 ALBERT ST SE,408000,409800,380000,03/25/2019,Airdrie Meadows,Single Family,Split Level (with crawl),1082,1977,Plan: 7710734 Block/Unit: 12 Lot: 17,R1 Single Detached Residential District,Single Family Dwelling,569,1977,Yes,Yes,Yes,No,None,No,51.2884628,-114.0114403
90,234700,64 ASPEN CR SE,275000,275700,257000,04/01/2019,Airdrie Meadows,Duplex,Bi-Level,879,1978,Plan: 7711277 Block/Unit: 7 Lot: 118B,R2 Low Density Residential District,Duplex,267,1978,Yes,Yes,None,None,None,No,51.2878,-114.006881
91,9800,609 600 ALLEN ST SE,185500,183900,169000,04/09/2019,Airdrie Meadows,Condo,2 Storey,1066,1980,Plan: 8010580 Block/Unit: 9 Lot:,R2-T Townhouse Residential District,Condominium,322,1980,None,None,Yes,No,None,No,51.287395,-114.0032144
92,300900,144 ALPINE CR SE,302000,302700,295000,04/24/2019,Airdrie Meadows,Single Family,Bungalow,1007,1977,Plan: 7710734 Block/Unit: 7 Lot: 55,R1 Single Detached Residential District,Single Family Dwelling,429,1977,Yes,Yes,Yes,No,None,No,51.288701,-114.0101509
93,303900,76 ALDER CR SE,327000,320400,345000,05/24/2019,Airdrie Meadows,Single Family,2 Storey,1406,1977,Plan: 7710734 Block/Unit: 7 Lot: 149,R1 Single Detached Residential District,Single Family Dwelling,497,1977,Yes,Yes,Yes,No,Yes,No,51.2891282,-114.0066686
94,236200,24 ALDER CR SE,320000,321100,269000,06/10/2019,Airdrie Meadows,Single Family,Bi-Level,853,1977,Plan: 7710734 Block/Unit: 7 Lot: 161,R1 Single Detached Residential District,Single Family Dwelling,389,1977,Yes,Yes,Yes,No,None,No,51.2897879,-114.0050312
95,208500,96 ALDER CR SE,350000,351200,351000,06/19/2019,Airdrie Meadows,Single Family,2 Storey,1418,1977,Plan: 7710734 Block/Unit: 7 Lot: 144,R1 Single Detached Residential District,Single Family Dwelling,454,1977,Yes,Yes,Yes,No,None,No,51.2886827,-114.006122
96,850688,112 PINTO LN SE,834500,833900,834000,08/18/2016,Annexation,Single Family,2 Storey,1980,2002,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8094,2002,Yes,Yes,Yes,No,Yes,No,51.281141,-113.963688
